match_index,bet_outcome,true_outcome,bet_fraction,odds,wealth
66,H,D,0.010428898323222623,"[3.18, 3.59, 2.27]",0.8720812645445751
67,D,D,0.011412036476979807,"[2.22, 3.87, 3.09]",0.9006441451339517
69,H,H,0.008515686068727577,"[2.95, 3.99, 2.25]",0.9155998705931684
72,D,A,0.010068201858836674,"[2.4, 3.43, 3.07]",0.9063814262741116
73,A,H,0.013140656591377283,"[1.72, 4.37, 4.43]",0.8944709792106407
74,D,A,0.011482271122761237,"[2.01, 3.91, 3.55]",0.8842004209159023
75,A,A,0.009856321444491991,"[2.34, 3.53, 3.09]",0.902414694776998
76,D,H,0.011763367489372106,"[5.01, 4.13, 1.68]",0.8917992590945266
78,D,H,0.011937641573474577,"[1.62, 4.47, 5.08]",0.881153279183966
81,D,D,0.011617342631022135,"[1.86, 4.0, 4.03]",0.9118632578481526
83,D,D,0.01190070097518614,"[1.66, 4.34, 4.9]",0.9481083098009317
85,D,D,0.009826693635145498,"[2.8, 3.38, 2.63]",0.9702822221471032
86,A,H,0.013138611503972913,"[1.75, 4.35, 4.28]",0.9575340609811009
87,H,H,0.018161887178969174,"[4.05, 3.98, 1.86]",1.0105754690170556
88,H,H,0.016540276985640312,"[2.94, 3.73, 2.35]",1.0430029534715806
89,D,D,0.009926090053483551,"[2.54, 3.4, 2.9]",1.0678500124528802
90,H,H,0.012777644073971315,"[3.85, 3.69, 1.99]",1.1067371434958801
93,A,H,0.008621291917179587,"[1.39, 5.54, 7.11]",1.0971956395062166
96,H,D,0.0021368611997475205,"[2.55, 3.34, 2.92]",1.0948510847156236
97,A,H,0.012189539401974344,"[1.97, 4.07, 3.55]",1.0815053542791881
98,H,D,0.0034570869148176126,"[2.61, 3.81, 2.58]",1.0777664962706044
99,A,H,0.00712098087131951,"[2.04, 3.73, 3.61]",1.0700917416669125
100,H,H,0.003035379887287203,"[2.59, 3.56, 2.73]",1.075256276237743
101,D,A,0.010113774298530836,"[2.79, 3.44, 2.6]",1.0643813769467956
103,A,H,0.014137792903501114,"[1.99, 3.84, 3.7]",1.0493333734691783
