match_index,bet_outcome,true_outcome,bet_fraction,odds,wealth
75,H,A,0.0024599396143812394,"[2.34, 3.53, 3.09]",0.8754426272585353
76,H,H,0.008636395371491128,"[5.01, 4.13, 1.68]",0.9057609085613225
77,H,A,0.008504872800762408,"[9.01, 5.92, 1.32]",0.8980575272461054
78,A,H,0.0071120998806767175,"[1.62, 4.47, 5.08]",0.8916704524137375
79,A,H,0.004072412887932591,"[2.41, 3.28, 3.19]",0.8880392021715392
80,H,A,0.011098419894731586,"[3.14, 3.35, 2.43]",0.878183370222857
81,A,D,0.004404920175720269,"[1.86, 4.0, 4.03]",0.8743150425773804
82,A,H,0.008631199491129607,"[1.65, 4.35, 4.94]",0.8667686550267996
83,D,D,0.005242407014358847,"[1.66, 4.34, 4.9]",0.8819454616437754
84,A,H,0.004576869502092064,"[1.1, 11.9, 20.73]",0.8779089123578695
85,D,D,0.011146691234219313,"[2.8, 3.38, 2.63]",0.901199067753087
86,A,H,0.006409671284124197,"[1.75, 4.35, 4.28]",0.8954226779672305
87,H,H,0.0036032767195470945,"[4.05, 3.98, 1.86]",0.9052633678207358
88,D,H,0.0009308528622226779,"[2.94, 3.73, 2.35]",0.9044207008237345
89,D,D,0.018006331488197923,"[2.54, 3.4, 2.9]",0.9435054182889034
90,H,H,0.0062183069731928985,"[3.85, 3.69, 1.99]",0.9602263863060083
91,H,H,0.005557849818012959,"[5.29, 4.48, 1.6]",0.9831212327649875
92,D,D,0.002675871002511651,"[2.28, 3.63, 3.13]",0.9900399884895931
93,A,H,0.0061600622904388475,"[1.39, 5.54, 7.11]",0.9839412804904718
94,A,H,0.010609903806914428,"[2.15, 3.51, 3.53]",0.9735017581528157
95,D,H,0.008588912147842402,"[2.7, 3.45, 2.69]",0.9651404370762711
96,D,D,0.004188402944970713,"[2.55, 3.34, 2.92]",0.9745996461708387
97,A,H,0.006594664120140804,"[1.97, 4.07, 3.55]",0.968172488852734
98,H,D,0.008752456706208125,"[2.61, 3.81, 2.58]",0.9596986010599087
99,A,H,0.0065151901655095615,"[2.04, 3.73, 3.61]",0.9534459821724298
100,A,H,0.0018153115976050898,"[2.59, 3.56, 2.73]",0.9517151806233023
101,D,A,0.0047059145266438,"[2.79, 3.44, 2.6]",0.9472364903295797
102,D,D,0.007435925245219192,"[2.2, 3.55, 3.37]",0.9651976186452478
103,A,H,0.009536275813529442,"[1.99, 3.84, 3.7]",0.9559932279392849
104,D,H,0.004628641728564793,"[4.49, 4.18, 1.74]",0.9515682777922198
105,A,H,0.008440304127124069,"[1.42, 5.45, 6.7]",0.9435367521299297
106,A,H,0.007146095956558457,"[1.39, 5.34, 7.62]",0.9367941479606697
107,A,A,0.0013363301614273048,"[2.71, 3.29, 2.78]",0.9390224699301135
108,A,A,0.005696782634214395,"[1.25, 6.95, 9.87]",0.9864717091316497
109,D,D,0.0035396644533575495,"[2.75, 3.53, 2.59]",0.9953059096045819
110,H,A,0.010931484019111396,"[7.05, 4.78, 1.46]",0.9844257389596123
111,D,H,0.006013563465684302,"[1.38, 5.03, 8.73]",0.9785058323011255
