match_index,strategy,bet_fractions,true_outcome,odds,wealth
97,complete,"[0.0, 0.004154452995261399, 0.016486660300352007]",H,"[1.97, 4.07, 3.55]",0.8195671385833051
98,complete,"[0.021881141765520314, 0.0, 0.0]",D,"[2.61, 3.81, 2.58]",0.8016340738376019
99,complete,"[0.0, 0.005415872685151535, 0.016287975413773904]",H,"[2.04, 3.73, 3.61]",0.7842355296681078
100,complete,"[0.0, 0.0034123710147366745, 0.004538278994012724]",H,"[2.59, 3.56, 2.73]",0.7780003474472905
101,complete,"[0.0, 0.0117647863166095, 0.0]",A,"[2.79, 3.44, 2.6]",0.7688473396053253
102,complete,"[0.0, 0.018589813113047977, 0.005325726102882045]",D,"[2.2, 3.55, 3.37]",0.801199126566762
103,complete,"[0.0, 0.0, 0.023840689533823605]",H,"[1.99, 3.84, 3.7]",0.7820979869355131
104,complete,"[0.007775207220925677, 0.011571604321411981, 0.0]",H,"[4.49, 4.18, 1.74]",0.7942704574551912
105,complete,"[0.0, 0.005456968449204377, 0.02110076031781017]",H,"[1.42, 5.45, 6.7]",0.7731764380784436
106,complete,"[0.0, 0.0, 0.017865239891396142]",H,"[1.39, 5.34, 7.62]",0.759363455533797
107,complete,"[0.0, 0.0, 0.0033408254035682617]",A,"[2.71, 3.29, 2.78]",0.7638791388203608
108,complete,"[0.0, 0.0013329034501037061, 0.014241956585535986]",A,"[1.25, 6.95, 9.87]",0.8593588761067328
109,complete,"[0.0, 0.008849161133393874, 0.001155551543685856]",D,"[2.75, 3.53, 2.59]",0.8776054937010518
110,complete,"[0.02732871004777849, 0.0, 0.0]",A,"[7.05, 4.78, 1.46]",0.8536216676273582
111,complete,"[0.0, 0.015033908664210754, 0.010774739010789432]",H,"[1.38, 5.03, 8.73]",0.8315908467598176
112,complete,"[0.0, 0.018663574317785942, 0.009370587501373637]",D,"[1.63, 4.06, 5.59]",0.8712909521306201
113,complete,"[0.0, 0.008528346578306943, 0.002329130891854421]",A,"[2.42, 3.62, 2.91]",0.8677363407045925
114,complete,"[0.0, 0.00370013129823182, 0.002819119854518941]",D,"[2.5, 3.38, 2.97]",0.8729316453330176
115,complete,"[0.0, 0.01266515480856575, 0.01705285791249133]",A,"[1.64, 4.11, 5.43]",0.9278207192738316
116,complete,"[0.0, 0.004491730867386135, 0.01593046805457006]",A,"[1.48, 4.98, 6.13]",0.9994777703362077
117,complete,"[0.021483483489726528, 0.0, 0.0]",A,"[10.83, 5.79, 1.28]",0.9780055061588411
118,complete,"[0.009393077770262274, 0.012106988359900083, 0.0]",D,"[5.24, 4.25, 1.64]",1.007301303536442
119,complete,"[0.0, 0.004671559410998961, 0.01898410593037291]",A,"[1.5, 4.58, 6.49]",1.1075793390814552
120,complete,"[0.0, 0.014583631181384896, 0.013241959236320577]",D,"[1.39, 5.33, 7.66]",1.1628532673966359
121,complete,"[0.0, 0.0012425958506933972, 0.022284054293771755]",H,"[1.65, 4.33, 4.98]",1.135495225405247
122,complete,"[0.0012274585276548743, 0.0056363491698949, 0.0]",D,"[3.16, 3.52, 2.31]",1.150229571986966
123,complete,"[0.0, 0.007027415976379858, 0.023736772623099162]",H,"[1.78, 3.75, 4.85]",1.114843692501661
124,complete,"[0.019441509434617327, 0.0024564347715459304, 0.0]",A,"[2.86, 3.6, 2.46]",1.0904309075246665
125,complete,"[0.02472813333443827, 0.0, 0.0]",A,"[7.07, 4.76, 1.46]",1.0634665866514041
126,complete,"[0.0, 0.014642388353136075, 0.018459697690418952]",H,"[1.7, 4.3, 4.6]",1.0282636241956236
127,complete,"[0.0, 0.008807653645049438, 0.01595602561959868]",H,"[1.55, 4.36, 6.17]",1.0028000336065384
128,complete,"[0.0, 0.008829888726491463, 0.01382739723649225]",D,"[1.75, 4.35, 4.28]",1.0185968717771796
129,complete,"[0.0, 0.02282133065749935, 0.012072631906238716]",H,"[2.08, 3.76, 3.48]",0.983053990665846
130,complete,"[0.005891788716508087, 0.019696854505783103, 0.0]",A,"[3.15, 3.41, 2.39]",0.9578989728304481
131,complete,"[0.0, 0.009724901793941296, 0.0]",H,"[2.95, 3.43, 2.52]",0.9485834993911548
132,complete,"[0.0, 0.014166889127855208, 0.00986413899241161]",H,"[2.16, 3.4, 3.62]",0.9257880626428648
133,complete,"[0.0, 0.009672041371281791, 0.011314354300060036]",H,"[1.36, 5.41, 8.26]",0.9063591080524367
134,complete,"[0.023372530391998204, 0.002248172316779812, 0.0]",D,"[4.29, 4.04, 1.8]",0.8913696626790023
135,complete,"[0.0248668681272142, 0.0, 0.0]",A,"[8.92, 5.79, 1.33]",0.8692040908245642
136,complete,"[0.0, 0.010588129621908198, 0.01790613180184248]",H,"[1.45, 4.87, 7.03]",0.8444367622300155
137,complete,"[0.0, 0.008115671232796245, 0.01836942486182439]",H,"[1.8, 3.91, 4.44]",0.8220717734365232
138,complete,"[0.0, 0.005834862630218669, 0.00025093052788364116]",H,"[2.37, 3.69, 2.94]",0.8170688146622741
139,complete,"[0.0, 0.0, 0.011323730539095595]",H,"[2.67, 3.92, 2.47]",0.8078165475731403
140,complete,"[0.0, 0.0, 0.024575160431831375]",H,"[1.37, 5.48, 7.77]",0.7879643263170422
141,complete,"[0.010781079513102278, 0.0, 0.0]",H,"[2.88, 3.75, 2.38]",0.8039351257014049
142,complete,"[0.017911275242535312, 0.0, 0.0]",D,"[5.38, 4.39, 1.6]",0.7895356223878248
143,complete,"[0.0, 0.004554464342477856, 0.012324184365945614]",A,"[1.68, 4.05, 5.18]",0.8266127097069822
144,complete,"[0.021975350470904667, 0.0, 0.0]",D,"[5.33, 4.22, 1.63]",0.8084476057074671
145,complete,"[0.024341363254342274, 0.005655392724130392, 0.0]",A,"[3.68, 3.76, 2.01]",0.7841968001576798
146,complete,"[0.023544825849723693, 0.0045514087657291015, 0.0]",D,"[4.69, 4.07, 1.73]",0.7766904676502604
147,complete,"[0.01992345711492744, 0.0, 0.0]",A,"[3.23, 4.13, 2.07]",0.7612161084264575
148,complete,"[0.0, 0.0, 0.024780806359633083]",H,"[1.95, 3.88, 3.76]",0.742352559445708
149,complete,"[0.0, 0.013219915447317784, 0.008885483967387633]",D,"[1.23, 6.63, 12.95]",0.7910083060032875
150,complete,"[0.0, 0.007799870118108768, 0.012616013046966504]",D,"[1.32, 6.04, 8.88]",0.8121245356223125
151,complete,"[0.0, 0.0, 0.019477633422007697]",H,"[1.3, 6.02, 8.95]",0.7963062716244428
152,complete,"[0.0, 0.007805048590665869, 0.013104593769913008]",A,"[1.91, 3.91, 3.93]",0.820666404185154
153,complete,"[0.0, 0.006856507158197618, 0.004912845542524322]",H,"[2.67, 3.38, 2.76]",0.8110076918246657
154,complete,"[0.0, 0.01689826484457996, 0.004939975800521621]",A,"[1.9, 3.89, 3.97]",0.8092019534210237
155,complete,"[0.0, 0.0034670411688815456, 0.026254258585451995]",A,"[1.6, 4.65, 5.07]",0.8928635560797552
156,complete,"[0.0, 0.008636395666507778, 0.014960900427857981]",H,"[1.33, 6.05, 8.44]",0.8717943903750729
157,complete,"[0.03610532389412708, 0.0, 0.0]",A,"[4.47, 4.51, 1.69]",0.8403179715414978
158,complete,"[0.0, 0.01125606193579636, 0.01896048207262358]",D,"[1.72, 4.27, 4.49]",0.8553149923131106
159,complete,"[0.0, 0.020579691596561096, 0.0]",H,"[3.3, 3.79, 2.14]",0.8377128735533917
160,complete,"[0.0, 0.0, 0.004961336542934273]",A,"[2.39, 3.47, 3.07]",0.8463161568219288
161,complete,"[0.02251236921523322, 0.005951660378482571, 0.0]",A,"[4.69, 4.02, 1.74]",0.8222265886885097
162,complete,"[0.006922617081611875, 0.005183020605657469, 0.0]",D,"[2.8, 3.83, 2.41]",0.8285950059659876
163,complete,"[0.022703845911747785, 0.0, 0.0]",A,"[6.75, 4.17, 1.54]",0.8097827126272921
164,complete,"[0.026923987593956297, 0.0, 0.0]",D,"[5.48, 4.09, 1.64]",0.7879801329187146
165,complete,"[0.0, 0.004140539650962638, 0.02120271108805498]",D,"[1.42, 5.06, 7.35]",0.7845192295344662
166,complete,"[0.004058143096567573, 0.0, 0.0]",A,"[2.63, 3.58, 2.68]",0.7813355382390064
167,complete,"[0.0, 0.0035240003621508794, 0.0127892487817521]",A,"[1.86, 3.87, 4.16]",0.8101590263938693
168,complete,"[0.03442866842572227, 0.0, 0.0]",A,"[4.47, 4.37, 1.71]",0.7822663299020488
169,complete,"[0.0, 0.007470054784283694, 0.015275238185820314]",D,"[1.34, 5.73, 8.52]",0.7979571225575192
170,complete,"[0.0, 0.01523954595620987, 0.007814023721044807]",D,"[1.92, 3.85, 3.94]",0.8263793037583339
171,complete,"[0.0, 0.01225009906718027, 0.013368956899256058]",A,"[1.47, 4.98, 6.32]",0.8750305272663411
172,complete,"[0.0, 0.004175274202758515, 0.01752327807602149]",H,"[1.94, 4.02, 3.69]",0.8560436316249239
173,complete,"[0.0, 0.0, 0.01816230533732468]",H,"[2.37, 3.81, 2.87]",0.8404959058052798
174,complete,"[0.005914990590533795, 0.014353105270859057, 0.0]",A,"[3.28, 3.62, 2.21]",0.8234606542153101
175,complete,"[0.011942343915437227, 0.0038809115487726384, 0.0]",H,"[3.95, 3.74, 1.94]",0.849275324736143
176,complete,"[0.0, 0.0, 0.00976922982313939]",H,"[1.08, 13.84, 24.96]",0.8409785589056742
177,complete,"[0.0, 0.008603254758572015, 0.01397591676598226]",D,"[1.64, 4.54, 4.96]",0.8548375534366514
178,complete,"[0.0, 7.252809814405216e-05, 0.010331620477155213]",H,"[1.15, 8.67, 20.05]",0.8459436965229511
179,complete,"[0.02361724907671206, 0.0, 0.0]",A,"[8.42, 5.9, 1.33]",0.8259648335372941
180,complete,"[0.0, 0.012189112231622395, 0.018054281270463858]",H,"[1.64, 4.13, 5.4]",0.8009848540577406
181,complete,"[0.0, 0.010460949490579482, 0.0]",A,"[2.69, 3.18, 2.88]",0.7926057919567233
182,complete,"[0.0, 0.00292323834615491, 0.006408767153819404]",D,"[2.37, 3.59, 3.0]",0.7935271329103839
183,complete,"[0.0, 0.0, 0.02526684619418698]",D,"[1.63, 4.91, 4.57]",0.773477204892223
184,complete,"[0.02789102589285472, 0.0, 0.0]",A,"[7.32, 5.34, 1.4]",0.7519041321430411
185,complete,"[0.0, 0.010829656589884157, 0.009117579441667632]",D,"[1.99, 3.91, 3.62]",0.7687443193860146
186,complete,"[0.02691111073871596, 0.0, 0.0]",H,"[7.1, 5.2, 1.42]",0.8949396767894254
187,complete,"[0.0, 0.0, 0.0038015363509943476]",A,"[2.72, 3.68, 2.54]",0.9001789811878491
188,complete,"[0.02383167975062048, 0.0, 0.0]",A,"[6.98, 4.93, 1.44]",0.8787262039899405
189,complete,,A,"[2.97, 4.06, 2.22]",0.8787262039899405
190,complete,"[0.0, 0.0007340156635614353, 0.017983523092215053]",H,"[1.32, 5.64, 9.41]",0.8622786122110424
191,complete,"[0.0, 0.017228642782797145, 0.012649208746230729]",H,"[1.75, 3.91, 4.82]",0.8365155798587447
192,complete,"[0.020940244515201264, 0.0, 0.0]",D,"[3.69, 3.97, 1.95]",0.8189987390757272
193,complete,"[0.0, 0.001480504347040779, 0.02095565623868772]",H,"[1.32, 6.41, 8.2]",0.800623551846315
194,complete,"[0.032584118045241556, 0.0, 0.0]",A,"[2.95, 3.59, 2.41]",0.774535939523154
195,complete,"[0.01978824796172781, 0.0, 0.0]",D,"[4.62, 3.7, 1.82]",0.7592092302966
196,complete,"[0.0, 0.014074639332956034, 0.01687544020388169]",D,"[1.56, 4.46, 5.71]",0.783369402816073
197,complete,"[0.0, 0.0011329264358849625, 0.01931054715125303]",D,"[1.29, 6.14, 9.37]",0.7728038605404851
198,complete,"[0.025064976523043406, 0.0, 0.0]",A,"[3.44, 3.22, 2.31]",0.7534335499191206
199,complete,"[0.023159397593472776, 0.0, 0.0]",D,"[4.9, 4.56, 1.65]",0.735984482776282
200,complete,"[0.0, 0.01672710762102777, 0.0112134457282721]",D,"[1.5, 4.96, 6.17]",0.7764826916590089
201,complete,"[0.0010705751481729351, 0.008758981433954784, 0.0]",H,"[3.03, 3.54, 2.41]",0.7713689988165138
202,complete,"[0.02135586714109865, 0.0010670941551262608, 0.0]",D,"[5.28, 4.24, 1.65]",0.757562664615294
203,complete,"[0.0, 0.01856397100586045, 0.0]",A,"[3.26, 3.31, 2.36]",0.7434992932742532
204,complete,"[0.01597309484321695, 0.013571334965446649, 0.0]",A,"[4.01, 3.76, 1.93]",0.7215330305913211
205,complete,"[0.0, 0.0, 0.019580377250697324]",H,"[1.36, 5.73, 7.91]",0.7074051416535042
206,complete,"[0.0, 0.0078014673661877774, 0.018582566971455244]",H,"[1.4, 5.54, 6.88]",0.6887409401054929
207,complete,"[0.01885884576979937, 0.011241200527608117, 0.0]",A,"[3.84, 3.78, 1.96]",0.6680098059213976
208,complete,"[0.0, 0.0, 0.019416944139540572]",H,"[1.31, 5.97, 9.23]",0.6550390968351565
209,complete,"[0.0, 0.009574086782977572, 0.012318280051412812]",A,"[1.65, 4.33, 4.99]",0.680962826283179
210,complete,"[0.02804305652480419, 0.0, 0.0]",A,"[6.49, 5.33, 1.43]",0.6618665472544293
211,complete,"[0.0193319151745739, 0.008876408796122842, 0.0]",A,"[4.38, 3.91, 1.81]",0.6431964012641099
212,complete,"[0.0, 0.008047598223970397, 0.0]",A,"[2.65, 3.49, 2.7]",0.6380202150476327
213,complete,"[0.0, 0.021149364305052525, 0.012060732091861408]",D,"[1.53, 4.4, 6.38]",0.6762038788356546
214,complete,"[0.008781365663764171, 0.0, 0.0]",H,"[2.97, 3.45, 2.46]",0.6879017260765784
215,complete,"[0.0, 0.0075325320320847895, 0.0070109915506604194]",A,"[2.11, 3.77, 3.39]",0.6942467512121864
216,complete,"[0.0, 0.0, 0.022662575672517515]",H,"[1.4, 4.92, 8.27]",0.6785133316774408
217,complete,"[0.024275079697692315, 0.0, 0.0]",A,"[7.76, 5.51, 1.37]",0.6620423664750242
218,complete,"[0.0, 0.006869404769407561, 0.017414811485341106]",H,"[1.38, 5.69, 7.16]",0.6459651864777392
219,complete,"[0.0, 0.003815479837619033, 0.013691265002681953]",H,"[2.11, 3.7, 3.45]",0.6346564387823559
220,complete,"[0.0, 0.024110309693101274, 0.00869439241259989]",A,"[1.68, 3.83, 5.5]",0.644185460061399
221,complete,"[0.0, 0.0, 0.01072858165491868]",H,"[1.1, 11.75, 21.77]",0.637274263752219
222,complete,"[0.02453482113999126, 0.00033737827063362054, 0.0]",A,"[7.05, 5.17, 1.42]",0.6214238511849146
223,complete,"[0.02719485996465761, 0.0, 0.0]",A,"[6.86, 4.74, 1.47]",0.6045243165732426
224,complete,"[0.0, 0.012398876216245747, 0.00922662507414914]",H,"[2.03, 4.09, 3.36]",0.5914511751851128
