match_index,bet_outcome,true_outcome,bet_fraction,odds,wealth
32,A,D,0.033762549560971564,"[1.62, 4.13, 5.48]",0.5837055274951549
33,A,D,0.04273703500632801,"[2.4, 3.53, 2.97]",0.5587596839332073
34,A,A,0.01666743329448427,"[1.21, 7.23, 12.71]",0.6678159650181684
35,A,H,0.014356895303169484,"[1.17, 8.43, 14.62]",0.6582282011266175
36,A,H,0.02947882975319801,"[1.51, 4.45, 6.48]",0.6388244040468521
37,A,A,0.06406969884023231,"[3.32, 3.97, 2.06]",0.6822094484566692
38,H,A,0.006343989657809951,"[3.03, 3.62, 2.32]",0.6778815187711998
39,H,A,0.024807164455832094,"[3.41, 3.71, 2.1]",0.6610652004534735
40,A,A,0.03468894282607681,"[3.59, 3.93, 1.99]",0.6837675368668846
41,A,H,0.037096833260399226,"[1.59, 4.47, 5.44]",0.6584019265628599
42,A,H,0.04522674605047211,"[2.89, 3.54, 2.47]",0.6286245498310599
43,H,D,0.009693765121560024,"[2.54, 3.43, 2.88]",0.6225308110953511
44,A,H,0.022727142120101095,"[1.28, 6.36, 9.45]",0.6083824648774453
45,A,D,0.010744558205430577,"[2.27, 3.5, 3.24]",0.6018456640724063
46,A,H,0.023468797472893134,"[1.55, 4.77, 5.48]",0.5877210700723521
47,A,D,0.029049561519712983,"[2.92, 3.76, 2.35]",0.5706480306908538
48,A,D,0.023502363830584745,"[1.79, 3.91, 4.51]",0.5572364530543507
49,A,D,0.029214282045796607,"[1.85, 3.66, 4.54]",0.5409571901486215
50,A,D,0.030587787429491673,"[5.18, 4.54, 1.6]",0.5244105066079005
51,A,H,0.016526472673244516,"[1.18, 8.27, 14.09]",0.5157438507008827
52,A,D,0.01350185471108428,"[2.23, 3.63, 3.22]",0.5087803521605843
53,A,H,0.04879712064396,"[1.75, 4.3, 4.32]",0.4839533359349278
54,A,H,0.0652833426547521,"[2.76, 3.35, 2.69]",0.45235924447617754
55,A,A,0.03680896594974832,"[2.49, 3.32, 3.03]",0.48616052281094185
56,H,A,0.01653186628437973,"[8.09, 5.63, 1.36]",0.4781233820550872
57,H,D,0.02136940293883925,"[4.34, 3.77, 1.85]",0.46790617084947145
58,A,A,0.04656517660463011,"[2.42, 3.9, 2.75]",0.5060354044394747
59,A,H,0.03987236841739104,"[1.65, 4.37, 5.01]",0.4858585743614205
60,H,A,0.009367945468307251,"[6.38, 4.71, 1.5]",0.4813070777314932
61,A,H,0.012097300374216493,"[1.13, 9.46, 19.13]",0.47548456143993895
62,A,H,0.04217561960697538,"[2.14, 3.62, 3.44]",0.45543070544765857
63,H,H,0.04299160534330836,"[3.35, 3.63, 2.17]",0.5014429937497596
64,A,H,0.019309906277745037,"[1.23, 7.15, 10.66]",0.49176017653681986
65,A,H,0.04109548688852968,"[1.81, 4.02, 4.29]",0.4715510526496499
66,A,D,0.024533623165227347,"[3.18, 3.59, 2.27]",0.4599821968207771
67,A,D,0.0576519599578289,"[2.22, 3.87, 3.09]",0.4334633216283515
68,A,D,0.0288127718618135,"[1.5, 4.81, 6.2]",0.4209740418318099
69,A,H,0.05712009138531156,"[2.95, 3.99, 2.25]",0.39692796609153297
70,A,H,0.01712640830724551,"[1.5, 5.01, 5.88]",0.39013001567568484
71,A,A,0.037379477945632476,"[2.46, 3.5, 2.94]",0.4184207569304292
72,D,A,0.008704935706717725,"[2.4, 3.43, 3.07]",0.4147784311429936
73,A,H,0.030590064057676267,"[1.72, 4.37, 4.43]",0.40209033236458697
74,A,A,0.05227716332540693,"[2.01, 3.91, 3.55]",0.4556916944048932
75,A,A,0.011345182729249906,"[2.34, 3.53, 3.09]",0.4664967969860535
76,H,H,0.006262345992631321,"[5.01, 4.13, 1.68]",0.47821146801824915
77,H,A,0.012616766398163547,"[9.01, 5.92, 1.32]",0.47217798563734004
78,A,H,0.04122108011121862,"[1.62, 4.47, 5.08]",0.4527142990646294
79,A,H,0.05809353529793508,"[2.41, 3.28, 3.19]",0.4264145249520384
80,H,A,0.035627058034312466,"[3.14, 3.35, 2.43]",0.4112226299248984
81,A,D,0.03986808188825035,"[1.86, 4.0, 4.03]",0.3948279724407509
82,A,H,0.03210667134673839,"[1.65, 4.35, 4.94]",0.38215136049109666
83,A,D,0.03527574190477124,"[1.66, 4.34, 4.9]",0.36867068772985556
84,A,H,0.01035837672913876,"[1.1, 11.9, 20.73]",0.364851857857359
85,A,D,0.03196507891858054,"[2.8, 3.38, 2.63]",0.3531893394273578
86,A,H,0.035291908897760106,"[1.75, 4.35, 4.28]",0.3407246134366274
87,A,H,0.041051077250988374,"[4.05, 3.98, 1.86]",0.3267375010091273
88,A,H,0.042449105105313654,"[2.94, 3.73, 2.35]",0.31286778648694336
89,A,D,0.053118358344218256,"[2.54, 3.4, 2.9]",0.2962487632899675
90,A,H,0.0008176401250707775,"[3.85, 3.69, 1.99]",0.296006538414099
91,D,H,0.0004682153133042351,"[5.29, 4.48, 1.6]",0.29586794361997537
92,A,D,0.024752165598571005,"[2.28, 3.63, 3.13]",0.2885445712841851
93,A,H,0.030147064294028296,"[1.39, 5.54, 7.11]",0.27984579954198796
94,A,H,0.033001734758483496,"[2.15, 3.51, 3.53]",0.2706104026922275
95,H,H,0.0370729609122723,"[2.7, 3.45, 2.69]",0.287665361790715
96,A,D,0.02248141357513596,"[2.55, 3.34, 2.92]",0.2811982378210568
97,A,H,0.019078480624520493,"[1.97, 4.07, 3.55]",0.2758334026891385
98,A,D,0.048478938929408355,"[2.61, 3.81, 2.58]",0.26246129200548085
99,A,H,0.04870270258366579,"[2.04, 3.73, 3.61]",0.24967871776121325
100,A,H,0.013650033288777513,"[2.59, 3.56, 2.73]",0.2462705949522734
101,A,A,0.01870817146622218,"[2.79, 3.44, 2.6]",0.2536422309802025
102,A,D,0.037196238496841505,"[2.2, 3.55, 3.37]",0.24420769406379192
103,A,H,0.03918479602258127,"[1.99, 3.84, 3.7]",0.2346384653847573
104,H,H,0.0012547718360960665,"[4.49, 4.18, 1.74]",0.2356659832904806
105,A,H,0.02611694082473391,"[1.42, 5.45, 6.7]",0.2295111087504804
106,A,H,0.024367537150925694,"[1.39, 5.34, 7.62]",0.22391848828145292
107,A,A,0.0317995318521554,"[2.71, 3.29, 2.78]",0.23659298380015162
